한남대학교 AI융합학과 재학 혹은 다전공 여부를 선택해 주세요.,착석위치,본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [1],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [2],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [3],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [4],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [5],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [6],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [7],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [8],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [9],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [10],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [11],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [12],성별,키,시력,시력,평점평균,과목 흥미도,교수 친밀도,MBTI,수업 친구,대학생활만족도,본인이 선호하는 학습 방식을 입력해 주세요.,전자기기,강의실 도착 시간,화장실,"휴대폰 이용빈도
 ",학번,해당 강의의 재수강 여부를 입력해 주세요.,"본인이 강의실 좌석을 선택할 때 영향을 주는 요소가 있나요? 그 요소가 무엇인가요?
자유롭게 기술해 주세요."
예,중간,,,,,,A,,,,,,,여,163.4,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,
예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.7,4,5,외향성,3,5,개별 학습 선호,사용한다,5,0,1,23,재수강이 아니다.,교수님의 목소리가 잘 들리고 칠판도 잘 보여 집중이 잘된다.
예,뒤,,,,,,,,,,E,,,남,183,1,1,4.32,3,3,내향성,3,3,개별 학습 선호,사용한다,5,1,1,20,재수강이 아니다.,키
예,중간,,,B,B,"A, B",,,,,,,,남,177,1,1,3.8,3,3,내향성,6,3,개별 학습 선호,사용한다,15분전,0,0,21,재수강이 아니다.,에어컨
예,중간,,,,,C,,,,,,,,남,180,1,1,2.2,2,3,내향성,7,3,개별 학습 선호,사용한다,3,1,0,21,재수강이 아니다.,그냥 중간이 가장 좋은거 같다
예,뒤,,,,,,,,,,B,,,남,173,1,1,3.9,3,3,내향성,10,5,그룹 학습 선호,사용한다,10,1,2,23,재수강이 아니다.,너무 앞쪽이 아니면 그날 자리 상황에 따라 중간 혹은 뒤에 앉는다.
예,앞,B,,,,,,,,,,,,여,170,1,0.7,4.24,5,4,외향성,1,5,개별 학습 선호,사용한다,10,0,0,20,재수강이 아니다.,"앞에 앉아야 휴대폰을 안보게되고 더 집중이
잘 됨"
예,앞,D,,,,,,,,,,,,남,180,1,1,2.8,4,3,내향성,2명,3,그룹 학습 선호,사용한다,5,1,2,23,재수강이 아니다.,없다
예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.6,5,5,외향성,2,5,개별 학습 선호,사용한다,10,0,2,23,재수강이 아니다.,시력
예,뒤,,,,,,,,,E,,,,남,172,1,1,3.9,3,1,내향성,5,4,개별 학습 선호,사용한다,20,0,1,21,재수강이 아니다.,X
예,앞,,D,,,,,,,,,,,여,163,0.8,0.8,3.89,5,3,내향성,3,4,개별 학습 선호,사용한다,20,0,1,20,재수강이 아니다.,부담스럽지않은 자리
예,앞,C,,,,,,,,,,,,여,155,-0.1,-0.1,4.3,5,4,내향성,2,3,그룹 학습 선호,사용한다,5,0,0,23,재수강이 아니다.,"칠판이 잘 보이는가, 교수님 목소리가 잘 들리는가"
예,앞,,D,,,,,,,,,,,남,173,1,1,3.82,4,5,외향성,3,3,그룹 학습 선호,사용한다,15,0,1,21,재수강이 아니다.,교수님과의 소통
예,중간,,,,,,C,,,,,,,여,160,1,1,3.99,3,3,내향성,1,3,그룹 학습 선호,사용한다,1,0,0,22,재수강이 아니다.,피피티 잘 보이는지 
아니오,중간,,,,,,,E,,,,,,남,172,1,1,3.82,3,3,내향성,3,3,그룹 학습 선호,사용한다,3분 전,0,0,23,재수강이 아니다.,약간 둿자리 선호 뭔가 마음이 편해짐
예,중간,,,,,,,B,,,,,,남,187,1,1,3.3,4,3,외향성,7,4,개별 학습 선호,사용한다,10,0,1,21,재수강이 아니다.,아는사람 앉아있는곳 주변
예,중간,,,,,,C,,,,,,,남,170,1,1,3.65,4,3,외향성,6,4,개별 학습 선호,사용한다,15분전,0,1,21,재수강이 아니다.,
예,중간,,,,,A,,,,,,,,여,162,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,
예,앞,C,,,,,,,,,,,,여,167,1,1,4.13,4,3,내향성,1,4,개별 학습 선호,사용한다,60,0,0,20,재수강이 아니다.,앞에 사람있으면 거슬려서
예,중간,,,,,D,,,,,,,,남,182,1,1,3.5,3,3,내향성,3,3,개별 학습 선호,사용한다,10,0,1,21,재수강이 아니다.,없음
예,앞,,,E,,,,,,,,,,남,175,1,1,3.97,3,3,내향성,3,3,개별 학습 선호,사용한다,10,0,2,21,재수강이 아니다.,칠판과의 거리. 멀면 안보임
아니오,중간,,,,,,B,,,,,,,남,180,0.4,0.4,3.4,3,2,내향성,6,3,개별 학습 선호,사용한다,7,0,1,21,재수강이 아니다.,없다.
예,중간,,,,A,,,,,,,,,남,183,0.1,0.3,1,3,4,내향성,임대훈,3,개별 학습 선호,사용한다,30분전,1,1,23,재수강이 아니다.,구석 앞자리
예,중간,,,,,,C,,,,,,,남,172,0.9,0.9,2.69,3,1,내향성,2,1,개별 학습 선호,사용한다,20,0,1,21,재수강이 아니다.,없음
예,뒤,,,,,,,,,,,C,,여,158,1,1,3.5,4,4,외향성,2,4,개별 학습 선호,사용한다,1,0,2,23,재수강이 아니다.,교수님 눈에 띄지 않는 자리.. 질문 주셨을 때 대답 못 하는게 너무 수치..
예,뒤,,,,,,,,,D,,,,남,177,1,1,3.19,3,4,내향성,1,4,개별 학습 선호,사용한다,10분 전,0,1,23,재수강이 아니다.,자리가 없거나 친구랑 같이 앉으려고
예,뒤,,,,,,,,,,,B,,여,163,0.9,0.9,4.07,2,2,내향성,2,3,개별 학습 선호,사용한다,1,0,2,23,재수강이 아니다.,교수님과 거리가 먼 곳
아니오,중간,,,,,E,,,,,,,,여,160,1,1,4.22,2,4,내향성,2명,4,그룹 학습 선호,사용하지 않는다,1분전,0,0,20,재수강이 아니다.,교수님이랑 가깝게 앉으면 질문할 것 같다. 교수님이랑 나랑만 있으면 괜찮은데 많은 사람들 앞에서 내 의견을 말하기가 부담스럽다.
예,중간,,,,,,,,D,,,,,남,173,1,1,3.7,2,1,내향성,5,3,개별 학습 선호,사용한다,1,0,0,21,재수강이 아니다.,남는자리
예,뒤,,,,,,,,,,D,,,남,170,0.9,0.9,4.08,3,3,내향성,6,3,개별 학습 선호,사용한다,30,0,0,21,재수강이 아니다.,NA
아니오,앞,,,D,,,,,,,,,,여,163,0.9,1,4.37,4,3,내향성,2,4,개별 학습 선호,사용한다,30,0,0,22,재수강이 아니다.,교수님이 하시는 말씀이나 자료 화면이 잘 보이고 들리는 좌석에 앉는다.
아니오,중간,,,,,F,F,,,,,,,남,163cm,0.3,0.4,2. 98,4,4,외향성,0,4,그룹 학습 선호,사용하지 않는다,130,0,2,21,재수강이 아니다.,빛에 시력이 저하되기 때문에 칠판 또는 빔 프로젝터의 스크린 2미터 이상 떨어진 자리
아니오,앞,,E,,,,,,,,,,,여,158,1,0.7,4.39,4,3,내향성,혼자나 친구 1명,4,개별 학습 선호,사용한다,5분 전,0,2,22,재수강이 아니다.,ppt나 수업자료가 잘 보이면서 교수님 눈에 띄지 않는 자리
아니오,앞,,,B,,,,,,,,,,여,158,1,1,3.72,1,2,외향성,5,3,그룹 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,칠판이 잘 보이는지
아니오,뒤,,,,,,,,,,,,F,남,174,0.9,0.2,2.98,2,2,내향성,0,2,개별 학습 선호,사용한다,10,1,1,19,재수강이 아니다.,교수님의 시선이 닿는지 안닿는지. 보통 안닿는곳에 착석
아니오,뒤,,,,,,,,,,,,F,여,163,1,1,3.4,3,3,내향성,2,3,개별 학습 선호,사용하지 않는다,30,0,2,22,재수강이 아니다.,편함
아니오,앞,,,F,F,,,,,,,,,여,167,1,1,3.54,4,2,내향성,0,4,개별 학습 선호,사용한다,10,0,1,22,재수강이 아니다.,강의실 문에서 가까운 좌석으로 선택한다
아니오,중간,,,,,C,,,,,,,,여,160,1,1,4.12,1,2,내향성,2명,3,개별 학습 선호,사용한다,10분 전,0,1,22,재수강이 아니다.,칠판(티비나 빔 등)이 잘 보이는가
아니오,중간,,,,,,,A,,,,,,여,165,1,1,3.8,3,3,내향성,3,3,개별 학습 선호,사용한다,"5,10",1,1,22,재수강이 아니다.,적당히 뒤
아니오,앞,,A,,,,,,,,,,,여,162,0.9,0.9,4.43,5,5,내향성,3명,3,개별 학습 선호,사용한다,2,0,0,22,재수강이 아니다.,"교수님의 피피티 화면 글씨가 잘 보이는지, 교수님과 아이컨택 가능한 거리인지"
아니오,앞,,,,,A,,,,,,,,여,168,0.8,0.7,4.3,5,4,내향성,2,5,개별 학습 선호,사용한다,10분전,1,1,23,재수강이 아니다.,교수님 얼굴 보이는 곳
아니오,앞,,D,,,,,,,,,,,여,154,0.7,0.7,3.39,2,1,내향성,0,2,개별 학습 선호,사용한다,10,0,2,22,재수강이 아니다.,"키가 작고, 칠판을 잘 보고 싶어서 앞에서 두세 번째 중앙 쪽에 앉는 편이에요. 그런데 40명 이상이 듣는 수업인데 작은 강의실에서 듣고, 기차 시간 때문에 더 일찍 강의실에 도착하는 게 힘들다 보니 그냥 빈자리에 앉는 경우도 많아요."
아니오,뒤,,,,,,,,,,,,A,여,163cm,0.6,0.6,3.5,1,1,내향성,0,4,개별 학습 선호,사용한다,정시,0,1,21,재수강이 아니다.,"교수님이 좋아서 수업에 열심히 참여하고 싶거나, 조별 과제에 참여해야 하면 앞쪽에 앉습니다. 수업을 듣지 않아도 성적에 직접적으로 영향이 없다고 생각하면 가능한 뒤에 앉습니다."
아니오,앞,,,D,,,,,,,,,,여,155,1,1,4.5,4,5,외향성,3,5,개별 학습 선호,사용한다,5,0,1,22,재수강이 아니다.,수업을 들을지 말지 여부 (수업을 듣지 않고 ppt만 보고 공부해도 좋은 점수를 받을 수 있는 경우 뒷 자리에 앉아 다른 과제를 함)
아니오,앞,,,C,,,,,,,,,,여,161,0.4,0.4,4.14,4,3,내향성,2,3,개별 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,"교수님이 화면에 띄우는 강의 자료를 보기에 적합한 위치, 교수님의 말이 잘 들리는 위치, 교수님과 시선 맞추는 데 부담스럽지 않은 위치… 등과 같은 주관적인 요소"
아니오,중간,,,,,,,D,,,,,,여,167,0.2,0.9,3.61,5,4,외향성,5,4,개별 학습 선호,사용한다,20,0,2,22,재수강이 아니다.,
예,중간,,,,,,B,,,,,,,남,178,1,1,3,3,3,내향성,6,3,개별 학습 선호,사용한다,5분전,1,1,21,재수강이 아니다.,중간이 좋다
아니오,앞,,,"A, C, D",,,,,,,,,,남,163,1,1,0,2,3,내향성,1,5,개별 학습 선호,사용한다,5,1,2,22,재수강이 아니다.,"친한사람주변, 창가, 앞쪽"
예,뒤,,,,,,,,,A,,,,남,183,0.8,0.7,4.06,2,3,내향성,0,2,개별 학습 선호,사용한다,5분전,0,2,23,재수강이 아니다.,
아니오,뒤,,,,,,,,"B, C",,,,,여,160,1,1,1,2,2,외향성,1,3,그룹 학습 선호,사용한다,10,0,1,22,재수강이 아니다.,교수님과의 친밀도
예,중간,,,,,,D,,,,,,,남,177,0.9,0.9,3.58,4,1,내향성,0,3,개별 학습 선호,사용하지 않는다,5,0,1,21,재수강이 아니다.,남는 자리
예,뒤,,,,,,,,,,,,B,남,183,0.4,0.4,3.32,3,4,내향성,4,4,개별 학습 선호,사용한다,15분전,1,1,21,재수강이 아니다.,앞이 잘보이는곳
아니오,앞,,C,,,,,,,,,,,여,160,0.9,0.8,3.6,3,1,내향성,9,4,개별 학습 선호,사용한다,5,0,1,22,재수강이 아니다.,앞에 화면이 잘 보이는가
예,뒤,,,,,,,C,,,C,,,남,173,1,1,4,3,1,내향성,6,5,개별 학습 선호,사용한다,10,0,2,21,재수강이 아니다.,
예,중간,,,,,,,"C, D","C, D","C, D","C, D",,,남,171,0.3,0.3,2.99,3,3,내향성,2,3,개별 학습 선호,사용한다,5,0,2,23,재수강이 아니다.,없음
예,앞,,,D,,,,,,,,,,남,173,1,1,3.82,3,4,외향성,3,3,그룹 학습 선호,사용한다,15,0,1,21,재수강이다.,교수님과의 소통
예,중간,,,,,,C,,,,,,,남,163,1,1,3.2,3,2,내향성,2,4,개별 학습 선호,사용하지 않는다,30,0,0,21,재수강이 아니다.,
예,중간,,,,,,E,,,,,,,남,170,-0.3,-0.3,3.79,4,3,내향성,3,4,개별 학습 선호,사용한다,5분전,0,1,23,재수강이 아니다.,2인 공석의 부족
예,중간,,,A,,,,,,,,,,남,183,0.3,0.1,2,4,4,내향성,임대훈,4,개별 학습 선호,사용한다,30분,1,1,23,재수강이 아니다.,구석자리
예,중간,,,B,"B, C, D","B, C, D","A, B, C, D, E",,,,,,,남,177,1,1,3.8,4,4,내향성,6,4,개별 학습 선호,사용한다,15,0,0,21,재수강이 아니다.,에어컨
예,뒤,,,,,,,A,,,,,,여,162,0.8,0.9,3.2,3,3,외향성,3,3,개별 학습 선호,사용한다,1,0,1,21,재수강이 아니다.,앞쪽은 부담스러워서 뒤에앉음
예,뒤,,,,,,,,,,,,F,남,174,1,1,2.7,3,3,내향성,3,3,개별 학습 선호,사용한다,5,1,2,23,재수강이 아니다.,NA
예,중간,,,,,B,,,,,,,,여,162.8,0.7,0.6,2.62,4,1,내향성,1,1,개별 학습 선호,사용한다,1,0,0,23,재수강이 아니다.,친구옆자리
예,중간,,,,,,,B,,,,,,남,168,1,1,3.09,4,4,외향성,0,3,개별 학습 선호,사용한다,5,0,1,20180261,재수강이 아니다.,옆좌석이 비어있는 좌석을 선호합니다.
예,앞,,A,,,,,,,,,,,남,173,1,1,3.46,5,5,내향성,0,4,개별 학습 선호,사용한다,15,0,0,23,재수강이 아니다.,
예,뒤,,,,,,,,,,E,,,남,183,1,1,4.32,3,3,내향성,2,3,개별 학습 선호,사용한다,5,1,1,20,재수강이 아니다.,키
예,앞,,B,,,,,,,,,,,남,180,-0.1,-0.2,2.4,4,3,내향성,2,4,그룹 학습 선호,사용한다,15,0,0,21,재수강이 아니다.,눈이 나빠서 앞자리를 앉는다
예,앞,,,B,,,,,,,,,,남,176,1,1,NA,4,4,내향성,NA,4,개별 학습 선호,사용한다,15,0,1,23,재수강이 아니다.,NA
아니오,앞,,C,,,,,,,,,,,여,157,0.9,1,3.8,4,3,내향성,2,4,개별 학습 선호,사용한다,20,0,1,23,재수강이 아니다.,TV의 크기
예,중간,,,,,C,,,,,,,,여,160,1,1,3.62,3,4,내향성,1,2,개별 학습 선호,사용하지 않는다,10,0,1,23,재수강이 아니다.,수업 집중도가 높은 학우들이 근처에 있는지에 여부
예,중간,,,,,,,,F,,,,,남,173,1,1,3.51,3,3,내향성,2,3,개별 학습 선호,사용한다,15,0,2,21,재수강이 아니다.,
아니오,앞,F,,,,,,,,,,,,여,160cm,0.8,0.8,4,4,4,외향성,50,4,개별 학습 선호,사용한다,10분전,0,2,21,재수강이 아니다.,칠판과의 거리
